NÂ°,CODIGO INFRACCION,TIPO DE VIA,LUGAR DE INTERVENCION,EMPRESA DE TRANSPORTE,CLUSTER
10695,N71,AV.,JOSE PARDO,GRUPO ORION,45
10702,N24,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
10711,N24,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
10712,N34,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10713,N40,AV.,OSCAR R. BENAVIDES,ESPECIAL SOLIDARIDAD,22
10716,N67,AV.,PASEO DE LA REPUBLICA,25 DE SETIEMBRE,117
10719,N67,CA.,LEONCIO PRADO,TRANSVESA,171
10720,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
10721,N67,AV.,PASEO DE LA REPUBLICA,UNIDOS CHAMA,46
10723,N24,AV.,PASEO DE LA REPUBLICA,URANO TOURS SA.,23
10725,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
10729,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
10730,N61,AV.,ANGAMOS OESTE,GRUPO ORION,12
10731,N71,AV.,PETIT THOUARS,GRUPO ORION,16
10733,N71,CA.,GNRAL. BORGOÃ‘O,ESPECIAL SOLIDARIDAD,3
10738,N24,AV.,PETIT THOUARS,GRUPO ORION,16
10740,N71,AV.,ANGAMOS OESTE,GRUPO ORION,45
10741,N61,AV.,ANGAMOS OESTE,GRUPO ORION,12
10743,N34,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10744,N01,AV.,PETIT THOUARS,SAN SEBASTIAN S.A,69
10745,N24,AV.,DIEZ CANSECO,ESPECIAL SOLIDARIDAD,0
10752,N24,AV.,PETIT THOUARS,NOR LIMA,16
10755,N01,AV.,ANGAMOS OESTE,ATCR S.A,24
10756,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
10757,N24,AV.,PETIT THOUARS,GRUPO ORION,16
10760,N24,AV.,JOSE LARCO,ETUNIJESA,23
10762,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
10763,N71,AV.,PETIT THOUARS,GRUPO ORION,16
10765,N24,AV.,PASEO DE LA REPUBLICA,GRUPO ORION,16
10766,N40,AV.,ANGAMOS ESTE,LOS ANGELES DEL PERU SAC.,106
10770,N71,CA.,GNRAL. BORGOÃ‘O,ATCR S.A,123
10771,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10773,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10774,N24,AV.,PETIT THOUARS,TRANSLIMA SA.,16
10783,N73,AV.,PETIT THOUARS,MIGUEL GRAU,125
10794,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
10795,N24,AV.,PASEO DE LA REPUBLICA,ESPECIAL SOLIDARIDAD,0
10797,N01,AV.,PETIT THOUARS,SAN SEBASTIAN S.A,69
10800,N24,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
10804,N67,AV.,ANGAMOS OESTE,RAPIDO UNIVERSAL,74
10805,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
10807,N24,AV.,PETIT THOUARS,TRANSLIMA SA.,16
10809,N67,AV.,CMDTE. ESPINAR,GRUPO ORION,2
10810,N71,AV.,PETIT THOUARS,NOR LIMA,33
10816,N24,AV.,PETIT THOUARS,GRUPO ORION,16
10820,N71,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
10824,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10827,N01,AV.,PETIT THOUARS,HOLDING EXPRESS,69
10829,N71,CA.,GNRAL. VARELA,GRUPLAN SA.,3
10830,N71,CA.,GNRAL. VARELA,GRUPLAN SA.,3
10831,N24,AV.,JOSE LARCO,TRANSLIMA SA.,23
10832,N24,AV.,PASEO DE LA REPUBLICA,URANO TOURS SA.,23
10833,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10835,N40,AV.,ALFREDO BENAVIDES,TRANSCATEL,43
10836,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10837,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10838,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10839,N34,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10843,N01,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
10844,N71,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
10845,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
10846,N24,AV.,OSCAR R. BENAVIDES,TRANSLIMA SA.,18
10847,N01,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,25
10848,N01,AV.,OSCAR R. BENAVIDES,URANO TOURS SA.,25
10851,N50,AV.,CMDTE. ESPINAR,GRUPO ORION,95
10858,N24,AV.,JOSE LARCO,TRANSLIMA SA.,23
10859,N24,AV.,OSCAR R. BENAVIDES,URANO TOURS SA.,18
10868,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10875,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
10876,N24,AV.,JOSE LARCO,VIRGEN DE COPACABANA,18
10877,N24,AV.,ANGAMOS OESTE,ATCR S.A,24
10880,N34,AV.,SANTA CRUZ,TRANSPORTES UNIDOS,36
10881,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10883,N24,AV.,PETIT THOUARS,GRUPO ORION,16
10886,N67,AV.,ANGAMOS OESTE,TRANSPORTES ANGAMOS,74
10887,N01,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,21
10889,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10890,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10891,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
10892,N71,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,21
10895,N61,AV.,ANGAMOS OESTE,MIRAFLORES MONTERRICO,32
10899,N37,AV.,ALFREDO BENAVIDES,ESPECIAL SOLIDARIDAD,0
10900,N01,AV.,PETIT THOUARS,SAN SEBASTIAN S.A,69
10901,N50,AV.,ANGAMOS OESTE,MIRAFLORES MONTERRICO,9
10902,N67,AV.,PASEO DE LA REPUBLICA,GRUPO ORION,2
10903,N01,AV.,PETIT THOUARS,RAPIDO MUSA SA.,69
10905,N24,AV.,ANGAMOS OESTE,ATCR S.A,24
10906,N34,AV.,ANGAMOS OESTE,RAPIDO UNIVERSAL,98
10907,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10909,N24,AV.,JOSE LARCO,ETUNIJESA,23
10913,N50,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10914,N01,AV.,ANGAMOS OESTE,RAPIDO UNIVERSAL,91
10915,N01,AV.,ANGAMOS OESTE,RAPIDO UNIVERSAL,91
10916,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
10917,N24,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
10920,N50,AV.,PASEO DE LA REPUBLICA,GRUPO SALAMANCA,95
10923,N50,CA.,ENRIQUE PALACIOS,GRUPO ORION,95
10924,N63,AV.,ALFREDO BENAVIDES,ESPECIAL SOLIDARIDAD,0
10926,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10927,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10930,N50,AV.,ALFREDO BENAVIDES,AQUARIUS SAC,41
10942,N71,AV.,ANGAMOS OESTE,GRUPO ORION,45
10943,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
10947,N24,AV.,OSCAR R. BENAVIDES,URANO TOURS SA.,18
10950,N50,AV.,ALFREDO BENAVIDES,SAN ANTONIO,41
10951,N50,AV.,ALFREDO BENAVIDES,SAN ANTONIO,41
10952,N50,AV.,ALFREDO BENAVIDES,SAN ANTONIO,41
10953,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
10954,N24,AV.,JOSE LARCO,ETUNIJESA,23
10955,N44,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10956,N60,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10958,N71,CA.,SCHELL,GRUPO ORION,3
10959,N71,AV.,ANGAMOS OESTE,LOS ANGELES DEL PERU SAC.,45
10960,N34,AV.,ALFREDO BENAVIDES,ESPECIAL SOLIDARIDAD,0
10961,N40,AV.,ANGAMOS OESTE,MIRAFLORES MONTERRICO,32
10963,N50,AV.,PETIT THOUARS,25 DE SETIEMBRE,94
10965,N63,AV.,BENAVIDES/PASEO DE LA REP.,GRUPO ORION,170
10966,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10967,N50,AV.,ALFREDO BENAVIDES,CUARENTA INTEGRADA,41
10968,N44,AV.,JOSE LARCO,ESPECIAL SOLIDARIDAD,87
10970,N42,CA.,DOS DE MAYO,ET. JOSE OLAYA,57
10972,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
10973,N50,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10974,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
10975,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
10976,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
10977,N24,AV.,JOSE LARCO,URANO TOURS SA.,23
10979,N24,AV.,JOSE LARCO,URANO TOURS SA.,23
10980,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
10981,N01,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
10982,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
10993,N24,AV.,PASEO DE LA REPUBLICA,GRUPO ORION,16
11009,N67,AV.,O.R. BENAVIDES/SCHELL,UNIDOS CHAMA,46
11010,N67,AV.,PASEO DE LA REPUBLICA,UNIDOS CHAMA,46
11012,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11013,N67,CA.,DOS DE MAYO,AQUARIUS SAC,171
11015,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11017,N24,AV.,PETIT THOUARS,ATCR S.A,16
11018,N71,AV.,JOSE LARCO,VIRGEN DE COPACABANA,63
11020,N24,AV.,JOSE LARCO,TRANSLIMA SA.,23
11021,N61,CA.,GONZALES PRADA,GRUPO ORION,12
11024,N24,AV.,JOSE LARCO,URANO TOURS SA.,23
11025,N71,AV.,ANGAMOS OESTE,LOS ANGELES DEL PERU SAC.,45
11027,N50,AV.,ANGAMOS ESTE,MIRAFLORES MONTERRICO,9
11037,N40,AV.,ALFREDO BENAVIDES,ESPECIAL SOLIDARIDAD,0
11038,N67,AV.,CMDTE. ESPINAR,CUARENTA INTEGRADA,77
11040,N24,AV.,JOSE LARCO,VIRGEN DE COPACABANA,18
11041,N67,CA.,DOS DE MAYO,NORTEAMERICA,171
11043,N61,AV.,PASEO DE LA REPUBLICA,UNIDOS CHAMA,48
11047,N24,CA.,GNRAL. SUAREZ,ATCR S.A,24
11048,N40,AV.,ANGAMOS ESTE,TRANSPORTES ANGAMOS,9
11050,N34,AV.,GNRAL. CORDOVA,TRANSPORTES ANGAMOS,13
11051,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11053,N71,AV.,PETIT THOUARS,CARMELITAS SA.,33
11054,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
11055,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11060,N24,AV.,JOSE PARDO,GRUPO ORION,16
11061,N71,AV.,ANGAMOS OESTE,GRUPO ORION,45
11065,N24,AV.,JOSE PARDO,ESPECIAL SOLIDARIDAD,0
11067,N71,AV.,PETIT THOUARS,ATCR S.A,33
11068,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11070,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11071,N24,CA.,SALAVERRY,VIRGEN DE COPACABANA,18
11072,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11073,N67,AV.,PASEO DE LA REPUBLICA,UNIDOS CHAMA,46
11076,N24,AV.,PASEO DE LA REPUBLICA,ESPECIAL SOLIDARIDAD,0
11077,N63,AV.,ANGAMOS OESTE,GRUPO DIEZ SAC.,166
11079,N63,AV.,JOSE PARDO,CORPORACION ALELUYA,115
11080,N67,AV.,ANGAMOS OESTE,NUEVO HORIZONTE,74
11082,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11083,N24,AV.,JOSE LARCO,VIRGEN DE COPACABANA,18
11085,N71,AV.,PASEO DE LA REPUBLICA,GRUPO ORION,45
11086,N50,AV.,ALFREDO BENAVIDES,ESPECIAL SOLIDARIDAD,0
11087,N01,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11089,N24,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
11090,N67,AV.,JOSE PARDO,GRUPO ORION,2
11107,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11113,N71,AV.,ALFREDO BENAVIDES,TRANSLIMA SA.,28
11114,N24,AV.,PETIT THOUARS,TRANSLIMA SA.,16
11115,N44,AV.,OSCAR R. BENAVIDES,GRUPO ORION,148
11116,N44,AV.,OSCAR R. BENAVIDES,GRUPO ORION,148
11118,N71,AV.,DIEZ CANSECO,ESPECIAL SOLIDARIDAD,33
11119,N24,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
11121,N71,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,21
11122,N24,AV.,PETIT THOUARS,GRUPO ORION,16
11123,N67,AV.,ALFREDO BENAVIDES,ESPECIAL SOLIDARIDAD,0
11125,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11127,N73,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11130,N37,AV.,OSCAR R. BENAVIDES,NEGOCIACIONES SANTA ANITA,18
11131,N61,AV.,PASEO DE LA REPUBLICA,GRUPO ORION,12
11132,N67,CA.,DOS DE MAYO,UNIDOS CHAMA,57
11133,N01,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,21
11134,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11135,N44,AV.,OSCAR R. BENAVIDES,ESPECIAL SOLIDARIDAD,22
11137,N67,CA.,JOSE GALVEZ,TRANSPORTES UNIDOS,171
11138,N24,CA.,GRAU,ESPECIAL SOLIDARIDAD,0
11145,N50,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11151,N50,AV.,PETIT THOUARS,UNIDOS CHAMA,46
11155,N24,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
11160,N63,AV.,PASEO DE LA REPUBLICA,HOGAR TOURS,37
11162,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11166,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11167,N71,AV.,PASEO DE LA REPUBLICA,GRUPO ORION,45
11168,N71,AV.,PETIT THOUARS,ATCR S.A,33
11169,N24,AV.,JOSE LARCO,VIRGEN DE COPACABANA,18
11171,N24,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
11175,N53,AV.,ANGAMOS ESTE,TRANSPORTES ANGAMOS,9
11178,N67,AV.,PETIT THOUARS,UNIDOS CHAMA,46
11181,N67,AV.,ALFREDO BENAVIDES,STO. CRISTO DE PACHACAMILLA,2
11184,N50,CA.,GNRAL. PERSHING,UNIDOS CHAMA,57
11186,N01,CA.,GONZALES PRADA,SAN SEBASTIAN S.A,69
11187,N71,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,33
11190,N67,CA.,ENRIQUE PALACIOS,HOGAR TOURS,171
11191,N67,AV.,RICARDO PALMA,MULTIPLE 160 SAC.,152
11196,N73,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11198,N71,AV.,GNRAL. CORDOVA,TRANSPORTES ANGAMOS,13
11199,N67,AV.,REDUCTO,UNIDOS CHAMA,46
11201,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11202,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11203,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11205,N40,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,33
11207,N24,AV.,JOSE PARDO,ESPECIAL SOLIDARIDAD,0
11212,N67,AV.,ALFREDO BENAVIDES,UNIDOS CHAMA,2
11214,N24,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
11216,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11237,N33,CA.,DOS DE MAYO,UNIDOS CHAMA,57
11238,N71,CA.,DOS DE MAYO,STAR TOURS,108
11240,N24,CA.,GERVACIO SANTILLANA/TACNA,25 DE SETIEMBRE,57
11241,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11247,N42,AV.,ANGAMOS ESTE,TRANSPORTES ANGAMOS,9
11249,N01,AV.,ANGAMOS ESTE,TRANSCATEL,80
11252,N33,AV.,JOSE PARDO,STO. CRISTO DE PACHACAMILLA,97
11253,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11255,N64,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11256,N50,CA.,DOS DE MAYO,STAR TOURS,108
11263,N50,CA.,DOS DE MAYO,GRUPO SALAMANCA,57
11275,N44,AV.,ANGAMOS ESTE,TRANSPORTES ANGAMOS,13
11276,N44,AV.,ANGAMOS ESTE,TRANSPORTES ANGAMOS,13
11277,N71,AV.,OSCAR R. BENAVIDES,URANO TOURS SA.,18
11280,N71,AV.,PETIT THOUARS,ATCR S.A,33
11281,N44,AV.,ALFREDO BENAVIDES,ESPECIAL SOLIDARIDAD,0
11282,N61,AV.,JOSE PARDO,GRUPO ORION,12
11286,N71,AV.,PETIT THOUARS,25 DE SETIEMBRE,33
11287,N24,CA.,GERVACIO SANTILLANA/TACNA,25 DE SETIEMBRE,57
11288,N24,AV.,OSCAR R. BENAVIDES,URANO TOURS SA.,18
11296,N24,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
11297,N01,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
11298,N04,CA.,GNRAL. VARELA,GRUPO ORION,158
11299,N04,AV.,ANGAMOS OESTE,GRUPO ORION,45
11300,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
11303,N50,AV.,OSCAR R. BENAVIDES,ESPECIAL SOLIDARIDAD,22
11304,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11309,N42,AV.,ANGAMOS OESTE,EXPRESS PACHACAMAC,98
11310,N71,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
11316,N50,AV.,ANGAMOS ESTE,GRUPLAN SA.,9
11318,N67,CA.,DOS DE MAYO,GRUPO ORION,171
11319,N42,CA.,DOS DE MAYO,GRUPO ORION,171
11320,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11322,N50,AV.,ROCA Y BOLOGÃ‘A,HOGAR TOURS,9
11334,N24,AV.,JOSE PARDO,ESPECIAL SOLIDARIDAD,0
11336,N67,CA.,GONZALES PRADA,STAR TOURS,108
11337,N24,AV.,JOSE LARCO,TRANSLIMA SA.,23
11340,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11341,N24,MLCON.,BALTA,VIRGEN DE COPACABANA,18
11347,N24,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
11348,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11349,N01,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,21
11350,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
11353,N67,CA.,SCHELL,GRUPO ORION,171
11356,N61,CA.,GNRAL. CASTAÃ‘ETA,TRANSVESA,86
11359,N67,AV.,ALFREDO BENAVIDES,STO. CRISTO DE PACHACAMILLA,2
11365,N24,AV.,DIEZ CANSECO,ESPECIAL SOLIDARIDAD,0
11368,N01,AV.,ANGAMOS OESTE,LOS ANGELES DEL PERU SAC.,91
11369,N61,AV.,JOSE LARCO,GRUPO ORION,12
11371,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11372,N24,AV.,JOSE LARCO,VIRGEN DE COPACABANA,18
11373,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11374,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11387,N67,AV.,ANGAMOS OESTE,STO. CRISTO DE PACHACAMILLA,74
11390,N24,AV.,DIEZ CANSECO,ESPECIAL SOLIDARIDAD,0
11392,N24,AV.,JOSE LARCO,TRANSLIMA SA.,23
11393,N53,AV.,JOSE PARDO,GRUPO ORION,101
11395,N24,AV.,CMDTE. ESPINAR,GRUPO ORION,16
11396,N24,AV.,JOSE PARDO,GRUPO ORION,16
11397,N24,AV.,PASEO DE LA REPUBLICA,ESPECIAL SOLIDARIDAD,0
11398,N67,AV.,CMDTE. ESPINAR,GRUPO ORION,2
11399,N24,AV.,PASEO DE LA REPUBLICA,URANO TOURS SA.,23
11401,N71,AV.,JOSE PARDO,GRUPO ORION,45
11402,N24,AV.,PASEO DE LA REPUBLICA,URANO TOURS SA.,23
11405,N71,AV.,JOSE PARDO,ESPECIAL SOLIDARIDAD,33
11407,N24,AV.,JOSE PARDO,TRANSLIMA SA.,29
11425,N71,AV.,JOSE PARDO,GRUPO ORION,45
11429,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11431,N24,AV.,PASEO DE LA REPUBLICA,URANO TOURS SA.,23
11432,N44,AV.,ANGAMOS OESTE,TRANSPORTES ANGAMOS,13
11433,N24,AV.,OSCAR R. BENAVIDES,URANO TOURS SA.,18
11436,N50,AV.,ANGAMOS ESTE,CORPORACION ALELUYA,9
11438,N05,AV.,OSCAR R. BENAVIDES,VIRGEN DE COPACABANA,18
11439,N71,AV.,PETIT THOUARS,UNIDOS CHAMA,28
11440,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11441,N44,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11444,N24,CA.,GNRAL. VARELA,ET. FOCAM SA.,57
11451,N71,CA.,GNRAL. VARELA,EXPRESS PACHACAMAC,3
11455,N24,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
11456,N50,AV.,ANGAMOS OESTE,TRANSPORTES ANGAMOS,74
11457,N71,CA.,ENRIQUE PALACIOS,GRUPO DIEZ SAC.,3
11458,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11459,N24,CA.,TACNA,25 DE SETIEMBRE,57
11460,N48,AV.,ANGAMOS OESTE,MIRAFLORES MONTERRICO,32
11462,N50,AV.,MARISCAL LA MAR,MIRAFLORES MONTERRICO,9
11463,N50,AV.,MARISCAL LA MAR,MIRAFLORES MONTERRICO,9
11464,N71,AV.,PETIT THOUARS,GRUPLAN,33
11466,N50,AV.,ANGAMOS OESTE,RAPIDO UNIVERSAL,132
11467,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
11468,N67,AV.,MARISCAL LA MAR,MIRAFLORES MONTERRICO,122
11470,N24,AV.,PETIT THOUARS,ESPECIAL SOLIDARIDAD,0
11477,N34,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11483,N50,AV.,ANGAMOS OESTE,SEÃ‘OR DE LA SOLEDAD,132
11484,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11488,N67,AV.,ANDRES AVELINO CACERES,STAR TOURS,2
11489,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11490,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11493,N24,AV.,PETIT THOUARS,NOR LIMA,16
11494,N71,CA.,GERVACIO SANTILLANA,ESPECIAL SOLIDARIDAD,3
11496,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11497,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11498,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11499,N48,CA.,TACNA,25 DE SETIEMBRE,3
11500,N61,AV.,ANGAMOS ESTE,GRUPO DIEZ SAC.,51
11504,N24,AV.,AREQUIPA,URANO TOURS SA.,23
11505,N24,AV.,PETIT THOUARS,URANO TOURS SA.,16
11509,N24,AV.,PETIT THOUARS,TRANSLIMA SA.,16
11511,N67,AV.,ALFREDO BENAVIDES,STO. CRISTO DE PACHACAMILLA,2
11513,N24,AV.,PETIT THOUARS,TRANSLIMA SA.,16
11514,N24,AV.,PETIT THOUARS,TRANSLIMA SA.,16
11516,N24,AV.,ANGAMOS ESTE,TURISMO,39
11518,N56A,AV.,ANGAMOS ESTE,MIRAFLORES MONTERRICO,9
11520,N67,AV.,ANGAMOS OESTE,NUEVO HORIZONTE,74
11530,N40,AV.,ANGAMOS ESTE,MIRAFLORES MONTERRICO,9
11531,N01,AV.,PETIT THOUARS,SAN SEBASTIAN S.A,69
11533,N01,AV.,PETIT THOUARS,RAPIDO MUSA SA.,69
11534,N63,AV.,ANGAMOS ESTE,TABLADA 2000,9
11535,N24,AV.,ANGAMOS ESTE,ATCR S.A,24
11536,N71,CA.,ENRIQUE PALACIOS,SANTA LUZMILA,3
11537,N24,AV.,JOSE PARDO,ESPECIAL SOLIDARIDAD,0
11538,N50,AV.,DEL EJERCITO,MIGUEL GRAU,9
11541,N62,AV.,DEL EJERCITO,SEÃ‘OR DE LA SOLEDAD,93
11542,N71,AV.,DEL EJERCITO,MIRAFLORES MONTERRICO,9
11545,N62,AV.,DEL EJERCITO,SEÃ‘OR DE LA SOLEDAD,93
11554,N44,AV.,ANGAMOS ESTE,LOS ANGELES DEL PERU SAC.,106
11555,N40,AV.,DEL EJERCITO,AQUARIUS SAC,43
11556,N61,AV.,ANGAMOS OESTE,RAPIDO UNIVERSAL,32
11558,N24,AV.,PETIT THOUARS,ETUNIJESA,16
11559,N71,CA.,BERLIN,GRUPO ORION,3
11564,N67,AV.,ALFREDO BENAVIDES,UNIDOS CHAMA,2
11582,N67,AV.,ALFREDO BENAVIDES,STO. CRISTO DE PACHACAMILLA,2
11586,N67,AV.,PASEO DE LA REPUBLICA,TRANSVESA,117
11589,N40,AV.,OSCAR R. BENAVIDES,TRANSCATEL,18
11592,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
11594,N24,AV.,ALFREDO BENAVIDES,URANO TOURS SA.,0
11595,N01,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,21
11596,N67,AV.,ALFREDO BENAVIDES,UNIDOS CHAMA,2
11600,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11601,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11602,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11603,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11604,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11606,N67,AV.,ANGAMOS ESTE,GRUPO DIEZ SAC.,106
11610,N24,AV.,ANGAMOS OESTE,GRUPO ORION,16
11612,N04,AV.,ANGAMOS OESTE,GRUPO ORION,45
11613,N42,AV.,ANDRES AVELINO CACERES,UNIDOS CHAMA,103
11615,N67,AV.,ALFREDO BENAVIDES,GRUPO ORION,2
11629,N71,AV.,ANGAMOS OESTE,GRUPO ORION,45
11630,N04,AV.,ANGAMOS OESTE,GRUPO ORION,45
11635,N24,AV.,ALFREDO BENAVIDES,VIRGEN DE COPACABANA,0
11636,N50,AV.,PETIT THOUARS,25 DE SETIEMBRE,94
